"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1010","Проверка корректности текста вопросов","tests","2025-10-15","passed","2025-10-15","TestMainPage","test_main_page","",""
"","767","Проверка корректности текста вопросов","tests","2025-10-15","passed","2025-10-15","TestMainPage","test_main_page","",""
"","822","Проверка корректности текста вопросов","tests","2025-10-15","passed","2025-10-15","TestMainPage","test_main_page","",""
"","631","Проверка корректности текста вопросов","tests","2025-10-15","passed","2025-10-15","TestMainPage","test_main_page","",""
"","763","Проверка корректности текста вопросов","tests","2025-10-15","passed","2025-10-15","TestMainPage","test_main_page","",""
"","7395","Проверка перехода на главную страницу после нажатия на кнопку ""Яндекс""","tests","2025-10-15","passed","2025-10-15","TestMainPage","test_main_page","",""
"","772","Проверка корректности текста вопросов","tests","2025-10-15","passed","2025-10-15","TestMainPage","test_main_page","",""
"","24743","Тест заполения формы заказа самоката","tests","2025-10-14","passed","2025-10-14","TestOrderBike","test_order_bike","",""
"","25965","Тест заполения формы заказа самоката","tests","2025-10-15","passed","2025-10-15","TestOrderBike","test_order_bike","",""
"","616","Проверка перехода на главную страницу после нажатия на кнопку ""Самокат"" в хэдере","tests","2025-10-15","passed","2025-10-15","TestOrderBike","test_order_bike","",""
"","671","Проверка корректности текста вопросов","tests","2025-10-15","passed","2025-10-15","TestMainPage","test_main_page","",""
"","24888","Тест заполения формы заказа самоката","tests","2025-10-14","passed","2025-10-14","TestOrderBike","test_order_bike","",""
"","805","Проверка корректности текста вопросов","tests","2025-10-15","passed","2025-10-15","TestMainPage","test_main_page","",""
"","25986","Тест заполения формы заказа самоката","tests","2025-10-15","passed","2025-10-15","TestOrderBike","test_order_bike","",""
